CMDLINE python do_luvoir_telserv2_BW10_medium.py
MEM 160.300781 1557948092.7795
MEM 488.519531 1557948092.8957
MEM 611.097656 1557948093.0115
MEM 614.738281 1557948093.1272
MEM 575.316406 1557948093.2427
MEM 288.449219 1557948093.3577
MEM 286.597656 1557948093.4724
MEM 611.097656 1557948093.5882
MEM 611.101562 1557948093.7048
MEM 538.824219 1557948093.8200
MEM 168.300781 1557948093.9352
MEM 168.449219 1557948094.0501
MEM 576.660156 1557948094.1653
MEM 484.445312 1557948094.2827
MEM 508.289062 1557948094.3978
MEM 478.390625 1557948094.5130
MEM 298.449219 1557948094.6281
MEM 454.660156 1557948094.7431
MEM 621.097656 1557948094.8584
MEM 566.359375 1557948094.9735
MEM 569.667969 1557948095.0889
MEM 170.300781 1557948095.2039
MEM 500.519531 1557948095.3201
MEM 621.097656 1557948095.4367
MEM 624.738281 1557948095.5524
MEM 585.316406 1557948095.6679
MEM 302.449219 1557948095.7830
MEM 302.597656 1557948095.8977
MEM 621.097656 1557948096.0135
MEM 621.101562 1557948096.1298
MEM 548.800781 1557948096.2450
MEM 184.300781 1557948096.3601
MEM 184.449219 1557948096.4752
MEM 592.660156 1557948096.5904
MEM 513.101562 1557948096.7090
MEM 516.285156 1557948096.8240
MEM 488.664062 1557948096.9392
MEM 318.449219 1557948097.0543
MEM 474.660156 1557948097.1693
MEM 380.445312 1557948097.2844
MEM 584.359375 1557948097.3994
MEM 550.957031 1557948097.5151
MEM 188.300781 1557948097.6300
MEM 556.519531 1557948097.7461
MEM 627.097656 1557948097.8621
MEM 632.738281 1557948097.9778
MEM 591.371094 1557948098.0930
MEM 318.449219 1557948098.2079
MEM 316.597656 1557948098.3224
MEM 631.097656 1557948098.4390
MEM 631.101562 1557948098.5555
MEM 558.824219 1557948098.6706
MEM 194.300781 1557948098.7856
MEM 192.449219 1557948098.9005
MEM 602.660156 1557948099.0158
MEM 509.101562 1557948099.1345
MEM 526.285156 1557948099.2495
MEM 498.664062 1557948099.3646
MEM 326.449219 1557948099.4797
MEM 482.660156 1557948099.5947
MEM 390.445312 1557948099.7096
MEM 592.359375 1557948099.8247
MEM 560.925781 1557948099.9407
MEM 202.300781 1557948100.0557
MEM 594.519531 1557948100.1706
MEM 631.097656 1557948100.2862
MEM 636.738281 1557948100.4019
MEM 595.316406 1557948100.5171
MEM 322.449219 1557948100.6320
MEM 320.597656 1557948100.7465
MEM 631.097656 1557948100.8622
MEM 631.101562 1557948100.9790
MEM 558.800781 1557948101.0943
MEM 202.300781 1557948101.2093
MEM 200.449219 1557948101.3243
MEM 608.660156 1557948101.4404
MEM 573.101562 1557948101.5593
MEM 526.527344 1557948101.6743
MEM 502.664062 1557948101.7894
MEM 340.449219 1557948101.9044
MEM 496.660156 1557948102.0194
MEM 404.445312 1557948102.1344
MEM 606.359375 1557948102.2495
MEM 560.957031 1557948102.3655
MEM 216.300781 1557948102.4805
MEM 618.519531 1557948102.5955
MEM 635.097656 1557948102.7112
MEM 644.738281 1557948102.8267
MEM 564.925781 1557948102.9421
MEM 342.449219 1557948103.0571
MEM 342.597656 1557948103.1722
MEM 641.097656 1557948103.2881
MEM 641.101562 1557948103.4066
MEM 568.824219 1557948103.5217
MEM 228.300781 1557948103.6366
MEM 228.449219 1557948103.7518
MEM 636.660156 1557948103.8672
MEM 611.101562 1557948103.9847
MEM 536.300781 1557948104.0996
MEM 510.664062 1557948104.2146
MEM 348.449219 1557948104.3295
MEM 502.660156 1557948104.4452
MEM 412.445312 1557948104.5602
MEM 616.359375 1557948104.6753
MEM 570.925781 1557948104.7911
MEM 226.300781 1557948104.9061
MEM 636.519531 1557948105.0211
MEM 641.097656 1557948105.1368
MEM 650.738281 1557948105.2522
MEM 570.925781 1557948105.3676
MEM 348.449219 1557948105.4825
MEM 346.597656 1557948105.5980
MEM 641.097656 1557948105.7136
MEM 553.101562 1557948105.8317
MEM 568.800781 1557948105.9468
MEM 238.300781 1557948106.0617
MEM 236.449219 1557948106.1767
MEM 641.097656 1557948106.2923
MEM 631.101562 1557948106.4098
MEM 548.664062 1557948106.5247
